a	-340.95551398268685	46.31571361609895
b	-246.36146839816996	-95.53579825816672
c	40.02047044745603	34.304974037952285
d	-479.20736858620296	-296.57193583718436
e	320.86911072834835	173.54510986501458
f	-455.1871866333804	-455.81337953805416
g	-716.7485749400826	-436.5483134334784
h	-906.2463814205785	-442.1967730438856
i	-800.7098997845644	-606.3178009381451
j	509.0057474308837	257.10282266696686
k	598.5680551846066	24.088030887265973
l	809.1367605446387	113.82720331188227
m	629.5022305730777	-238.7422366963791
n	308.3839344121673	641.806734365976
o	-185.84502205424135	444.85698083242505
p	175.5317875391958	308.84685681383223
q	576.1435351316062	-492.2036375067034
r	490.5507540811445	703.125062895765
s	348.68729128543646	827.1149121960882
t	-487.7434349966933	430.6541953923047
u	430.0592840415872	-562.0912011506093
v	568.2881430959104	-716.5109380135897
w	-665.7528115227958	331.0917408547442
x	-682.7342858112123	484.61500622979446
y	536.248573698781	-891.7929316087286
z	136.57872037896627	422.3665321819018
